Id,Quality
222,5
1514,5
417,5
754,6
516,5
1120,7
180,5
82,7
632,6
592,5
501,7
1586,6
1096,5
1101,6
1488,6
700,5
631,6
1022,6
1420,6
882,6
1170,6
911,5
124,6
1417,7
681,5
63,6
1010,6
418,7
399,5
1265,7
999,5
452,7
347,6
778,6
607,5
32,6
511,5
1035,6
1270,7
723,7
838,7
485,6
142,7
1470,6
1238,5
158,5
426,5
344,7
637,6
1578,5
944,6
469,5
148,6
279,6
1144,6
509,7
1073,5
1423,6
280,7
848,5
650,6
1092,6
76,6
1302,7
1148,6
100,6
533,6
1328,6
253,6
1344,5
544,7
352,6
1367,6
1300,5
635,5
750,5
1479,6
476,6
1355,6
546,6
196,6
1210,5
43,6
1013,5
1378,6
471,6
1410,5
1004,7
740,4
697,4
127,5
1069,6
1319,6
741,6
626,5
621,6
1195,6
339,7
556,5
162,6
1555,7
695,6
457,5
1045,6
12,6
524,7
489,6
453,7
1282,6
423,7
290,6
744,5
435,6
955,6
1055,5
819,5
302,4
455,5
1274,5
710,5
1568,7
72,5
156,5
86,6
1252,5
1280,6
1130,6
1499,5
1434,4
564,6
1559,7
396,5
1081,6
293,6
652,6
1312,5
120,5
220,7
1391,5
1324,7
492,6
427,5
596,7
771,6
538,5
107,5
1436,5
193,6
1370,6
843,6
506,7
388,6
197,7
655,6
1508,7
799,6
194,6
1414,7
1059,6
1487,4
565,5
1333,6
1250,7
871,7
421,7
1336,6
1224,7
813,6
249,4
721,6
1026,6
781,6
808,6
809,6
111,6
766,6
1070,7
497,6
292,6
1529,5
1060,7
56,7
42,6
1535,6
190,7
79,5
1219,7
1384,5
269,7
833,6
1379,7
551,6
947,5
3,6
934,5
749,6
1553,5
1036,6
1107,6
1168,6
1577,4
1291,5
578,6
85,6
1089,7
366,7
90,7
752,5
1590,7
617,7
146,5
241,7
790,5
1116,6
392,6
770,7
395,5
306,6
416,5
512,6
729,7
1415,5
677,5
793,7
94,5
466,6
96,5
325,6
1359,6
16,5
1076,6
900,7
1556,5
1057,6
877,7
953,7
1400,5
1127,7
260,6
608,5
1549,7
376,7
1048,7
1485,5
1471,4
1110,6
1493,6
1019,6
1078,6
1152,5
1395,5
1277,5
1321,5
1234,5
412,5
1111,6
335,6
1526,6
2,5
6,6
1281,6
745,6
1008,6
298,4
415,5
736,5
679,7
1220,7
439,6
989,6
500,5
1053,6
611,7
1335,7
595,5
361,5
35,5
1237,5
67,5
155,5
80,6
1147,6
296,5
170,5
1439,7
946,6
